what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1265137613795
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265137614508
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265137806105
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1265137807756
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1265137807820
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1265137807871
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265137807989
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265137808558
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265137810506
started,bundle,org.eclipse.equinox.p2.ui,1.0.100.v20090527-1812,"org.eclipse.equinox.p2.ui",1265137826061
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1265137826080
started,bundle,org.eclipse.equinox.p2.metadata,1.0.100.v20090525,"org.eclipse.equinox.p2.metadata",1265137826154
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265137841656
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.help.aboutAction",1265137841693
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265137843356
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265137855579
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265137856789
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265137859476
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.update",1265137859546
started,bundle,org.eclipse.ecf.identity,3.0.0.v20090604-1131,"org.eclipse.ecf.identity",1265137859608
started,bundle,org.eclipse.ecf,3.0.0.v20090604-1131,"org.eclipse.ecf",1265137859610
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,3.0.0.v20090604-1131,"org.eclipse.ecf.provider.filetransfer.httpclient",1265137859648
started,bundle,org.eclipse.ecf.provider.filetransfer,3.0.0.v20090604-1131,"org.eclipse.ecf.provider.filetransfer",1265137859649
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265137859879
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.extensionlocation",1265137860536
