what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265138468457
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1265138489857
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.9,"org.tigris.subversion.clientadapter.javahl",1265138491397
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.6,"org.tigris.subversion.clientadapter.svnkit",1265138491397
started,bundle,org.tmatesoft.svnkit,1.3.2.6267,"org.tmatesoft.svnkit",1265138491825
started,bundle,com.sun.jna,3.2.3,"com.sun.jna",1265138492442
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1265138514518
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265138517443
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1265138563050
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1265138563513
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1265138564151
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1265138564538
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265138564733
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1265138564973
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1265138565029
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265138565089
started,bundle,org.eclipse.jdt.launching.macosx,3.2.0.v20090527,"org.eclipse.jdt.launching.macosx",1265138565883
activated,view,org.tigris.subversion.subclipse.ui,1.6.6,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1265138570817
activated,view,org.tigris.subversion.subclipse.ui,1.6.6,"org.tigris.subversion.subclipse.ui.annotations.AnnotateView",1265138580345
activated,view,org.tigris.subversion.subclipse.ui,1.6.6,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1265138586255
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265138589310
activated,view,org.tigris.subversion.subclipse.ui,1.6.6,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1265138599966
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265138622815
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265138635596
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265138635981
