what,kind,bundleId,bundleVersion,description,time
java.vm.version,sysinfo,,,"1.5.0_20-141",1265138335945
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265138353093
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265138405788
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1265138439528
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1265138439583
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1265138439608
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265138439687
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265138439771
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265138445249
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265138449340
started,bundle,com.collabnet.subversion.merge,2.0.0,"com.collabnet.subversion.merge",1265138449517
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1265138449543
started,bundle,org.tigris.subversion.subclipse.ui,1.6.6,"org.tigris.subversion.subclipse.ui",1265138449586
opened,view,org.tigris.subversion.subclipse.ui,1.6.6,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1265138449725
opened,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui.GenericHistoryView",1265138449832
opened,view,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.ui.views.repositories",1265138449858
activated,perspective,org.tigris.subversion.subclipse.ui,1.6.6,"org.tigris.subversion.subclipse.ui.svnPerspective",1265138449880
activated,view,org.tigris.subversion.subclipse.ui,1.6.6,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1265138449901
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.perspectives.showPerspective",1265138449910
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.perspectives.showPerspective",1265138449910
opened,view,org.tigris.subversion.subclipse.ui,1.6.6,"org.tigris.subversion.subclipse.ui.annotations.AnnotateView",1265138454992
activated,view,org.tigris.subversion.subclipse.ui,1.6.6,"org.tigris.subversion.subclipse.ui.annotations.AnnotateView",1265138455011
activated,view,org.tigris.subversion.subclipse.ui,1.6.6,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1265138455823
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265138459322
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1265138467582
